PID,Benchmark,WCET,Period,Deadline,Criticality,TempSens,LoadSens,Energy,Predecessors
T5783,TACLeBench,18.95,179.73,160.53,Low,1.43,0.89,23.88,T5782
T5784,MiBench,21.89,196.42,24.29,Low,1.45,1.3,22.77,T5783
T5785,Malardalen,0.23,16.79,5.47,High,1.45,1.26,0.19,T5784
T5786,Malardalen,0.81,81.59,39.82,Low,1.13,1.1,0.62,T5785
T5787,MiBench,10.55,160.37,54.5,Low,0.88,1.17,18.57,T5786
T5788,Malardalen,0.7,42.45,14.41,High,0.83,1.28,0.39,T5787
T5789,Malardalen,0.33,74.01,53.77,High,1.02,0.83,0.21,T5788
T5790,MiBench,38.58,497.18,274.96,Low,1.2,1.34,72.53,T5789
T5791,TACLeBench,8.29,67.64,25.51,High,1.09,0.86,8.79,T1994
T5792,TACLeBench,16.52,144.99,138.72,Low,1.17,1.29,21.97,T5791
T5793,Malardalen,1.43,62.71,44.29,High,0.99,0.93,1.0,T5792
T5794,MiBench,31.73,416.77,355.12,High,0.96,0.94,51.09,T5793
T5795,TACLeBench,15.04,125.04,97.25,Low,0.97,0.93,22.11,T5794
T5796,Malardalen,1.73,73.44,1.8,High,0.84,1.0,1.19,T5795
T5797,EEMBC,1.37,180.43,157.89,High,0.81,0.96,3.26,T5796
T5798,EEMBC,17.22,237.46,126.76,Low,1.41,1.2,32.89,T5797
T5799,PapaBench,2.96,52.07,41.22,High,1.21,1.23,3.32,T5798
T5800,PapaBench,3.48,39.97,29.08,High,1.15,1.06,2.64,T5799
T5801,MiBench,23.95,275.22,172.66,Low,0.99,0.84,26.35,T5678
T5802,PapaBench,3.68,193.44,80.74,High,1.48,0.86,3.94,T5801
T5803,Malardalen,1.1,30.18,18.7,High,1.39,0.8,0.64,T5802
T5804,PapaBench,1.87,100.72,83.92,High,1.22,0.97,1.63,T5803
T5805,Malardalen,0.79,77.38,31.86,High,1.1,1.24,0.6,T5804
T5806,TACLeBench,11.71,120.09,87.66,High,1.25,1.09,13.0,T5805
T5807,EEMBC,7.25,52.0,13.86,Low,1.48,1.13,11.89,T5806
T5808,MiBench,31.48,399.57,213.26,Low,1.1,1.13,52.89,T5807
T5809,TACLeBench,12.6,55.58,32.42,High,1.2,0.81,14.62,T5808
T5810,TACLeBench,10.81,159.65,41.66,High,1.3,0.88,9.4,T5809
T5811,TACLeBench,14.16,139.82,67.55,High,1.23,0.99,12.74,T5164
T5812,PapaBench,3.98,193.53,108.09,High,1.48,0.91,2.63,T5811
T5813,MiBench,30.83,427.18,329.59,Low,0.9,0.92,58.27,T5812
T5814,MiBench,5.15,442.47,153.99,Low,1.34,1.38,9.73,T5813
T5815,EEMBC,10.54,252.72,145.92,Low,1.44,0.93,13.81,T5814
T5816,Malardalen,0.74,28.78,3.44,High,0.85,1.1,0.66,T5815
T5817,MiBench,39.98,441.23,91.1,Low,1.13,1.19,65.57,T5816
T5818,PapaBench,1.28,53.41,7.55,Low,1.05,0.99,1.36,T5817
T5819,EEMBC,4.15,163.31,143.92,High,1.32,0.92,8.09,T5818
T5820,TACLeBench,18.17,179.67,100.03,High,0.94,0.92,25.8,T5819
T5821,Malardalen,1.0,37.8,31.55,High,1.45,0.92,0.92,T1706
T5822,PapaBench,4.26,83.66,19.72,Low,0.83,1.02,4.52,T5821
T5823,MiBench,12.33,415.49,151.88,Low,1.3,0.88,14.18,T5822
T5824,EEMBC,25.49,96.95,45.49,Low,0.82,1.14,52.76,T5823
T5825,PapaBench,3.3,48.04,37.63,High,0.9,1.22,3.2,T5824
T5826,MiBench,38.0,321.1,221.97,Low,0.87,0.82,50.16,T5825
T5827,Malardalen,0.39,66.95,22.7,High,1.03,1.2,0.2,T5826
T5828,MiBench,22.48,316.19,235.41,Low,1.09,1.21,43.61,T5827
T5829,EEMBC,4.55,272.76,147.55,High,1.04,1.04,5.96,T5828
T5830,PapaBench,2.14,100.46,40.66,Low,1.23,1.29,1.31,T5829
T5831,PapaBench,0.21,124.63,95.49,High,1.25,0.98,0.16,T614
T5832,PapaBench,1.62,201.73,122.62,Low,0.99,1.36,1.64,T5831
T5833,PapaBench,4.72,206.79,161.73,High,0.89,1.31,5.43,T5832
T5834,MiBench,26.93,378.62,351.27,Low,1.04,0.89,44.7,T5833
T5835,Malardalen,1.49,79.52,56.51,High,0.81,1.36,1.0,T5834
T5836,EEMBC,19.83,166.98,85.46,High,0.99,1.23,48.19,T5835
T5837,TACLeBench,3.78,104.09,40.17,High,1.49,1.18,5.59,T5836
T5838,MiBench,18.13,159.25,102.12,Low,0.87,0.93,32.09,T5837
T5839,TACLeBench,14.95,199.86,120.76,Low,0.91,0.87,18.39,T5838
T5840,Malardalen,1.72,95.77,90.74,High,1.5,1.19,1.22,T5839
T5841,MiBench,22.8,233.38,128.04,Low,1.48,1.22,35.57,T2788
T5842,PapaBench,1.94,78.31,72.81,High,1.03,1.23,1.84,T5841
T5843,MiBench,23.57,112.36,97.4,High,0.96,0.87,36.77,T5842
T5844,MiBench,15.72,319.29,221.93,High,0.98,0.93,24.99,T5843
T5845,Malardalen,1.02,30.38,8.32,High,1.34,1.23,0.53,T5844
T5846,PapaBench,3.64,248.02,196.09,High,1.17,0.89,3.86,T5845
T5847,PapaBench,1.53,152.97,52.83,High,0.81,1.34,1.32,T5846
T5848,TACLeBench,9.94,115.96,98.93,High,1.31,1.35,12.62,T5847
T5849,MiBench,47.28,165.06,148.12,Low,1.38,1.01,62.41,T5848
T5850,PapaBench,3.55,228.38,33.11,Low,1.24,1.01,3.16,T5849
T5851,MiBench,46.79,158.8,78.41,Low,0.86,1.2,58.96,T4893
T5852,TACLeBench,0.65,119.7,90.12,High,1.32,1.1,0.73,T5851
T5853,PapaBench,4.8,83.0,51.0,High,1.04,0.97,3.98,T5852
T5854,EEMBC,18.38,118.15,109.86,Low,1.07,1.09,40.44,T5853
T5855,Malardalen,0.47,36.5,1.53,High,1.32,1.22,0.25,T5854
T5856,EEMBC,12.07,238.59,33.57,Low,1.41,1.16,22.45,T5855
T5857,PapaBench,4.08,220.14,88.22,High,0.9,0.97,2.86,T5856
T5858,PapaBench,4.15,142.75,61.73,High,0.93,1.14,2.82,T5857
T5859,Malardalen,1.78,24.16,2.08,High,0.89,1.34,1.05,T5858
T5860,TACLeBench,5.77,107.79,19.86,Low,1.02,1.09,7.27,T5859
T5861,PapaBench,1.54,142.94,6.03,Low,1.4,0.97,1.0,T5769
T5862,TACLeBench,1.8,153.07,149.81,High,1.44,1.01,1.87,T5861
T5863,TACLeBench,13.71,179.09,114.64,High,1.23,0.95,11.65,T5862
T5864,MiBench,11.89,118.75,21.52,High,1.15,1.31,17.6,T5863
T5865,PapaBench,3.5,89.68,81.75,High,1.24,1.05,3.6,T5864
T5866,TACLeBench,12.75,118.42,101.82,Low,0.99,1.14,18.87,T5865
T5867,TACLeBench,2.23,121.13,43.61,High,1.31,1.37,3.23,T5866
T5868,TACLeBench,17.93,198.34,54.1,Low,0.99,1.17,20.08,T5867
T5869,MiBench,44.52,220.69,85.14,High,0.81,1.02,84.59,T5868
T5870,Malardalen,1.74,74.9,10.4,Low,0.81,1.08,1.15,T5869
T5871,TACLeBench,7.88,105.27,21.65,Low,1.0,0.93,10.4,T5724
T5872,PapaBench,4.41,227.13,35.62,High,0.97,0.93,4.41,T5871
T5873,Malardalen,0.41,56.89,11.29,High,1.03,0.92,0.32,T5872
T5874,TACLeBench,13.54,165.61,118.19,High,1.07,1.38,12.73,T5873
T5875,PapaBench,2.46,115.72,44.41,High,1.47,0.94,1.57,T5874
T5876,EEMBC,19.57,287.9,211.49,High,1.44,1.35,26.81,T5875
T5877,MiBench,24.0,144.23,29.29,Low,1.19,1.29,30.96,T5876
T5878,PapaBench,0.41,185.02,62.57,High,1.46,0.82,0.3,T5877
T5879,Malardalen,1.23,88.31,49.18,Low,1.28,0.87,0.85,T5878
T5880,EEMBC,25.04,198.11,27.54,Low,0.94,1.09,58.09,T5879
T5881,Malardalen,0.2,31.36,11.43,Low,0.98,0.83,0.1,T5703
T5882,EEMBC,22.62,276.17,153.26,High,0.85,0.94,49.99,T5881
T5883,EEMBC,9.81,179.63,80.5,Low,1.45,1.1,16.19,T5882
T5884,MiBench,23.43,204.2,93.24,High,1.18,0.95,39.6,T5883
T5885,EEMBC,1.93,198.12,21.96,High,0.97,1.35,4.63,T5884
T5886,EEMBC,3.16,124.95,22.23,High,1.32,1.08,6.7,T5885
T5887,MiBench,37.84,426.3,360.69,High,1.17,1.12,54.87,T5886
T5888,MiBench,30.21,237.09,235.65,High,1.05,0.96,37.76,T5887
T5889,TACLeBench,10.82,125.1,76.37,Low,1.21,1.03,9.52,T5888
T5890,MiBench,9.93,307.38,269.6,Low,1.1,0.83,18.37,T5889
T5891,TACLeBench,9.56,67.26,59.61,High,1.22,1.09,9.66,T4668
T5892,PapaBench,2.24,83.53,21.82,Low,0.82,1.39,2.6,T5891
T5893,PapaBench,2.09,105.75,14.32,High,1.14,1.21,2.05,T5892
T5894,PapaBench,4.91,248.41,209.54,Low,1.25,0.85,4.76,T5893
T5895,Malardalen,1.37,71.93,47.82,High,1.06,0.86,1.25,T5894
T5896,EEMBC,27.1,277.84,277.55,Low,1.3,1.29,36.59,T5895
T5897,PapaBench,3.88,53.95,49.78,High,1.16,1.27,3.3,T5896
T5898,Malardalen,0.26,95.73,63.62,Low,1.47,1.29,0.19,T5897
T5899,Malardalen,0.32,89.96,50.5,High,1.42,1.12,0.29,T5898
T5900,TACLeBench,14.83,117.91,35.34,High,1.06,0.96,14.24,T5899
T5901,MiBench,48.18,114.07,109.9,Low,0.96,1.24,81.91,T2960
T5902,EEMBC,28.89,248.14,52.16,High,1.04,1.04,69.62,T5901
T5903,MiBench,41.27,194.4,68.74,High,1.27,1.27,41.68,T5902
T5904,Malardalen,1.22,74.57,30.32,High,1.14,1.32,0.93,T5903
T5905,TACLeBench,4.26,106.55,21.59,Low,0.99,1.32,4.64,T5904
T5906,PapaBench,3.66,97.56,14.62,Low,1.12,1.22,4.25,T5905
T5907,Malardalen,0.28,81.37,28.14,High,0.96,1.1,0.27,T5906
T5908,EEMBC,16.02,129.05,75.57,High,1.04,1.09,33.0,T5907
T5909,MiBench,36.88,417.4,123.89,Low,1.12,1.38,63.8,T5908
T5910,Malardalen,1.55,35.89,13.0,High,1.42,1.24,1.18,T5909
T5911,MiBench,9.41,163.83,109.97,Low,1.04,1.26,10.26,T4353
T5912,EEMBC,25.94,103.88,64.35,High,1.33,0.97,39.17,T5911
T5913,TACLeBench,11.54,171.33,79.16,High,1.14,1.18,10.85,T5912
T5914,MiBench,43.18,394.16,225.67,Low,1.3,1.0,55.27,T5913
T5915,EEMBC,26.36,268.46,69.82,Low,1.19,0.89,40.07,T5914
T5916,TACLeBench,19.71,171.96,74.54,High,1.3,0.95,19.12,T5915
T5917,Malardalen,1.85,30.47,27.79,High,1.12,0.91,1.72,T5916
T5918,Malardalen,0.43,15.42,2.9,High,0.96,0.83,0.42,T5917
T5919,PapaBench,2.18,75.39,64.79,Low,1.26,0.84,2.55,T5918
T5920,Malardalen,1.2,55.08,33.5,Low,1.11,0.91,0.89,T5919
T5921,PapaBench,1.65,33.95,28.03,Low,1.23,1.07,1.72,T3716
T5922,PapaBench,2.79,92.28,42.55,High,0.94,1.06,1.95,T5921
T5923,TACLeBench,13.68,174.8,166.56,Low,1.42,0.86,18.06,T5922
T5924,TACLeBench,15.24,85.4,69.71,Low,1.43,1.09,19.81,T5923
T5925,MiBench,39.9,301.08,219.17,Low,1.19,1.2,73.42,T5924
T5926,MiBench,30.79,365.56,234.09,Low,0.98,0.91,58.5,T5925
T5927,PapaBench,0.67,61.04,43.86,High,1.42,1.01,0.49,T5926
T5928,TACLeBench,3.81,118.49,9.47,High,1.49,1.37,3.66,T5927
T5929,EEMBC,27.74,168.36,98.24,Low,0.95,1.28,35.51,T5928
T5930,EEMBC,19.09,266.42,170.38,Low,1.0,1.28,41.23,T5929
T5931,PapaBench,0.89,95.34,67.11,High,0.87,1.17,0.85,T5736
T5932,TACLeBench,16.75,84.08,52.43,High,1.25,1.35,17.25,T5931
T5933,TACLeBench,15.05,58.16,24.25,Low,0.85,1.15,14.0,T5932
T5934,TACLeBench,8.94,53.94,47.9,Low,0.97,1.37,9.12,T5933
T5935,EEMBC,4.58,79.41,64.24,Low,1.49,1.19,8.79,T5934
T5936,PapaBench,0.13,159.72,48.78,Low,1.45,0.82,0.14,T5935
T5937,EEMBC,20.02,265.45,57.4,Low,1.37,1.1,41.24,T5936
T5938,PapaBench,3.71,228.99,6.48,Low,1.27,0.81,4.08,T5937
T5939,PapaBench,2.57,94.28,69.44,High,1.29,1.23,1.67,T5938
T5940,Malardalen,1.05,86.21,58.84,High,0.82,0.83,0.7,T5939
T5941,TACLeBench,14.59,60.39,16.82,High,1.17,1.06,21.45,T4916
T5942,MiBench,44.16,462.71,434.18,Low,1.32,1.0,76.4,T5941
T5943,TACLeBench,2.43,84.16,21.81,Low,0.99,1.25,1.99,T5942
T5944,Malardalen,1.51,14.28,5.36,Low,0.98,1.12,0.89,T5943
T5945,TACLeBench,15.75,118.15,59.2,Low,1.26,1.28,17.33,T5944
T5946,PapaBench,1.36,163.91,117.38,Low,1.42,1.12,0.99,T5945
T5947,TACLeBench,17.78,128.68,35.76,Low,1.42,0.93,26.49,T5946
T5948,TACLeBench,6.33,140.87,137.37,High,0.92,0.95,9.24,T5947
T5949,MiBench,40.1,118.93,106.93,High,0.83,0.92,71.38,T5948
T5950,MiBench,28.26,387.49,262.82,Low,1.09,1.05,42.67,T5949
T5951,EEMBC,29.73,295.83,77.21,Low,1.05,1.25,68.68,T288
T5952,MiBench,15.75,319.13,197.41,Low,1.06,0.92,30.4,T5951
T5953,MiBench,27.57,226.47,142.55,Low,1.03,0.81,48.8,T5952
T5954,Malardalen,1.12,33.91,27.92,Low,0.89,1.22,0.65,T5953
T5955,TACLeBench,19.37,76.68,37.92,High,1.06,1.09,28.47,T5954
T5956,MiBench,32.4,351.47,340.44,Low,1.43,1.36,46.66,T5955
T5957,PapaBench,2.9,197.46,70.77,High,1.01,0.92,2.93,T5956
T5958,EEMBC,1.35,282.53,144.31,High,1.04,1.35,2.03,T5957
T5959,EEMBC,17.01,139.43,99.34,High,0.98,1.17,26.71,T5958
T5960,Malardalen,1.74,42.24,37.19,High,0.96,1.02,1.58,T5959
T5961,TACLeBench,11.06,96.57,59.22,Low,1.48,1.22,15.82,T2829
T5962,EEMBC,22.01,62.33,59.21,High,1.41,0.9,48.42,T5961
T5963,MiBench,43.9,220.41,90.37,Low,1.04,0.95,85.6,T5962
T5964,TACLeBench,9.92,115.36,26.52,High,1.47,1.3,8.33,T5963
T5965,MiBench,26.8,418.49,139.83,Low,1.39,0.96,27.07,T5964
T5966,Malardalen,1.99,74.81,34.79,High,1.28,1.38,1.91,T5965
T5967,MiBench,40.83,188.48,66.06,Low,0.93,0.94,68.19,T5966
T5968,EEMBC,9.8,93.16,76.09,High,0.9,0.85,24.3,T5967
T5969,TACLeBench,18.66,115.11,70.94,Low,1.31,1.25,18.85,T5968
T5970,TACLeBench,19.62,108.14,20.23,High,1.32,1.39,19.82,T5969
T5971,Malardalen,1.55,18.88,13.79,High,1.48,1.21,1.52,T5063
T5972,EEMBC,28.29,199.11,148.64,High,0.96,1.19,69.03,T5971
T5973,MiBench,38.49,102.24,50.23,Low,1.35,1.31,48.11,T5972
T5974,TACLeBench,17.51,175.38,84.71,Low,1.01,0.81,22.76,T5973
T5975,TACLeBench,10.46,103.8,61.58,Low,0.94,1.4,12.34,T5974
T5976,PapaBench,3.21,202.2,78.84,High,1.5,1.03,2.25,T5975
T5977,MiBench,39.38,139.84,54.92,High,1.04,1.16,68.92,T5976
T5978,EEMBC,2.48,217.9,107.2,High,1.4,0.92,5.75,T5977
T5979,MiBench,7.93,272.56,143.3,Low,1.23,1.3,12.85,T5978
T5980,TACLeBench,17.73,190.76,73.72,Low,1.47,1.01,22.16,T5979
T5981,TACLeBench,5.85,119.53,25.35,Low,1.3,0.87,6.79,T790
T5982,EEMBC,25.7,249.05,79.56,High,1.08,0.97,37.78,T5981
T5983,PapaBench,0.27,135.22,110.58,Low,1.36,0.82,0.32,T5982
T5984,Malardalen,1.46,88.58,61.83,High,1.37,1.18,0.77,T5983
T5985,PapaBench,4.53,241.17,169.85,Low,1.24,1.28,4.8,T5984
T5986,MiBench,18.12,170.54,97.04,Low,1.38,1.15,26.27,T5985
T5987,PapaBench,1.85,192.95,51.73,Low,1.42,1.12,1.94,T5986
T5988,Malardalen,0.38,87.39,26.25,High,1.47,1.28,0.25,T5987
T5989,TACLeBench,12.75,104.3,92.42,High,1.12,1.23,15.94,T5988
T5990,TACLeBench,1.33,130.98,85.41,Low,0.82,1.16,2.0,T5989
T5991,TACLeBench,3.23,121.98,44.85,Low,1.18,1.24,4.62,T5862
T5992,PapaBench,3.67,128.77,119.33,High,1.37,1.04,2.83,T5991
T5993,EEMBC,29.39,62.08,45.8,Low,1.47,1.24,61.72,T5992
T5994,TACLeBench,5.57,96.29,22.19,Low,1.12,1.25,4.62,T5993
T5995,EEMBC,27.87,282.94,42.91,High,1.23,1.31,44.87,T5994
T5996,PapaBench,0.17,105.31,92.6,High,0.86,0.91,0.11,T5995
T5997,MiBench,40.87,140.3,126.76,High,0.83,0.94,78.06,T5996
T5998,EEMBC,8.38,61.68,18.98,Low,0.96,0.85,15.08,T5997
T5999,MiBench,45.15,414.78,262.95,High,1.26,1.34,60.5,T5998
T6000,PapaBench,0.73,155.87,138.11,Low,1.08,0.96,0.56,T5999
T6001,Malardalen,1.03,56.62,21.8,High,1.36,1.13,0.69,T772
T6002,Malardalen,1.25,56.12,47.48,High,0.87,1.2,0.74,T6001
T6003,PapaBench,4.3,153.37,100.76,High,1.48,1.39,3.01,T6002
T6004,PapaBench,2.41,53.08,22.66,Low,1.22,0.81,1.45,T6003
T6005,Malardalen,1.81,40.74,25.54,Low,1.39,1.2,1.18,T6004
T6006,MiBench,27.63,380.8,101.93,Low,1.3,1.08,27.63,T6005
T6007,MiBench,18.4,266.33,237.24,Low,0.81,1.23,24.66,T6006
T6008,Malardalen,0.3,53.7,10.77,High,1.08,1.09,0.28,T6007
T6009,EEMBC,24.18,197.44,148.62,High,1.14,1.01,53.2,T6008
T6010,MiBench,5.02,187.4,59.01,High,1.13,1.37,8.99,T6009
T6011,Malardalen,1.03,71.55,54.38,High,0.95,1.02,0.54,T499
T6012,EEMBC,25.09,214.27,206.64,Low,0.91,0.82,48.42,T6011
T6013,EEMBC,4.89,83.84,75.53,High,1.39,1.18,6.45,T6012
T6014,PapaBench,3.8,230.91,119.92,High,1.08,0.91,3.76,T6013
T6015,Malardalen,1.82,92.54,24.76,High,1.06,1.25,1.67,T6014
T6016,PapaBench,3.22,221.51,59.01,High,1.01,0.8,2.99,T6015
T6017,PapaBench,1.33,246.59,217.84,High,1.37,1.38,1.09,T6016
T6018,MiBench,32.88,262.86,154.99,Low,1.34,1.2,35.51,T6017
T6019,EEMBC,28.75,100.96,69.25,Low,0.93,1.32,44.27,T6018
T6020,TACLeBench,10.27,54.11,37.8,Low,1.35,1.38,9.04,T6019
T6021,PapaBench,4.05,171.71,126.76,High,1.04,0.87,4.46,T608
T6022,TACLeBench,8.36,56.29,47.18,Low,1.08,0.82,12.04,T6021
T6023,EEMBC,24.81,250.68,170.76,High,0.86,1.2,31.01,T6022
T6024,MiBench,11.09,434.95,25.5,Low,1.39,1.02,14.97,T6023
T6025,TACLeBench,2.0,71.5,50.46,Low,1.19,0.92,2.76,T6024
T6026,EEMBC,11.6,100.81,76.86,Low,1.08,0.81,19.26,T6025
T6027,MiBench,15.87,113.93,92.64,Low,0.96,0.86,27.3,T6026
T6028,PapaBench,3.11,83.37,3.14,High,1.41,1.06,3.7,T6027
T6029,TACLeBench,11.31,147.32,145.64,Low,1.01,1.05,15.83,T6028
T6030,Malardalen,1.55,24.85,7.79,Low,1.07,1.32,0.96,T6029
T6031,TACLeBench,5.59,99.36,84.35,Low,1.08,0.9,7.16,T5867
T6032,PapaBench,2.13,191.61,123.14,High,1.41,1.31,2.51,T6031
T6033,PapaBench,2.8,58.81,30.83,High,1.38,0.8,3.25,T6032
T6034,MiBench,24.31,451.66,308.65,Low,0.81,1.21,30.39,T6033
T6035,MiBench,30.73,417.8,76.63,Low,1.21,1.09,55.93,T6034
T6036,Malardalen,0.18,13.47,7.79,High,1.07,0.99,0.12,T6035
T6037,EEMBC,21.24,58.26,48.52,Low,0.93,0.85,37.38,T6036
T6038,EEMBC,22.36,124.04,116.78,High,1.32,1.13,36.0,T6037
T6039,Malardalen,1.87,39.68,19.17,High,1.05,0.97,1.22,T6038
T6040,MiBench,6.04,285.41,214.62,High,1.3,0.91,10.45,T6039
T6041,TACLeBench,6.48,94.04,82.38,Low,1.33,1.28,6.35,T2493
T6042,PapaBench,2.06,101.74,65.73,High,1.4,1.02,1.67,T6041
T6043,MiBench,17.43,461.99,366.45,Low,1.42,1.4,30.33,T6042
T6044,MiBench,33.45,267.1,225.97,Low,1.49,1.24,63.55,T6043
T6045,Malardalen,1.09,77.24,62.46,High,1.04,0.84,0.61,T6044
T6046,TACLeBench,1.78,61.82,57.18,Low,1.17,0.99,1.62,T6045
T6047,Malardalen,1.17,71.0,52.15,High,1.3,1.21,0.8,T6046
T6048,TACLeBench,17.74,158.39,69.84,Low,1.13,1.19,24.48,T6047
T6049,Malardalen,1.54,25.81,9.88,High,1.47,0.87,1.26,T6048
T6050,EEMBC,9.84,244.76,175.34,Low,0.85,1.32,17.81,T6049
T6051,EEMBC,22.41,53.86,44.69,High,1.12,1.11,34.51,T4252
T6052,MiBench,23.13,446.93,114.98,Low,1.06,1.21,31.69,T6051
T6053,Malardalen,0.87,76.04,6.07,Low,1.29,1.27,0.67,T6052
T6054,MiBench,22.58,430.85,180.36,Low,1.1,0.96,38.39,T6053
T6055,EEMBC,10.87,287.01,191.43,Low,1.11,1.16,16.41,T6054
T6056,MiBench,19.6,399.74,246.96,Low,1.02,1.13,26.46,T6055
T6057,TACLeBench,18.23,111.99,79.23,High,1.26,0.92,23.33,T6056
T6058,MiBench,18.9,108.78,36.33,Low,1.1,0.83,35.53,T6057
T6059,EEMBC,11.87,208.93,17.22,Low,1.01,1.22,14.72,T6058
T6060,EEMBC,23.96,143.56,139.79,High,1.48,1.16,40.73,T6059
T6061,EEMBC,9.55,196.36,35.46,Low,1.17,0.88,16.52,T746
T6062,Malardalen,1.51,17.07,2.72,High,1.44,1.32,0.79,T6061
T6063,Malardalen,1.22,71.61,16.21,Low,0.83,0.94,0.63,T6062
T6064,MiBench,43.54,178.72,136.43,High,1.29,1.39,70.53,T6063
T6065,Malardalen,1.57,80.89,67.33,Low,1.19,1.03,1.33,T6064
T6066,TACLeBench,16.83,131.53,72.14,High,0.86,1.3,15.65,T6065
T6067,EEMBC,18.03,215.12,211.92,Low,1.26,0.9,38.58,T6066
T6068,MiBench,33.74,209.69,43.61,High,1.07,1.35,38.13,T6067
T6069,TACLeBench,19.9,158.22,84.99,Low,1.19,1.33,21.69,T6068
T6070,MiBench,7.76,203.28,26.85,Low,1.44,1.26,8.15,T6069
T6071,Malardalen,1.74,12.49,1.91,High,0.86,1.28,1.13,T2410
T6072,MiBench,49.86,411.6,86.36,Low,0.89,1.06,53.85,T6071
T6073,EEMBC,13.12,171.37,128.93,High,0.86,0.89,24.8,T6072
T6074,Malardalen,0.49,63.28,48.09,High,1.12,1.12,0.28,T6073
T6075,Malardalen,1.06,38.74,11.86,High,0.84,0.86,0.85,T6074
T6076,MiBench,47.98,246.64,183.79,Low,1.37,1.39,90.2,T6075
T6077,EEMBC,15.31,101.97,80.98,High,1.41,1.1,30.47,T6076
T6078,PapaBench,3.31,235.44,22.39,High,1.25,1.23,3.38,T6077
T6079,MiBench,38.14,470.28,161.56,Low,0.8,1.34,74.37,T6078
T6080,PapaBench,1.42,106.63,97.89,High,1.28,0.82,1.49,T6079
T6081,EEMBC,15.19,75.54,49.85,Low,1.33,1.08,26.28,T756
T6082,Malardalen,0.87,48.58,15.25,High,1.07,1.39,0.62,T6081
T6083,PapaBench,1.65,228.8,81.03,High,0.81,0.93,1.83,T6082
T6084,EEMBC,3.56,262.84,6.94,Low,1.36,1.33,6.62,T6083
T6085,Malardalen,1.95,18.66,15.62,High,0.93,1.0,1.38,T6084
T6086,MiBench,48.57,271.73,96.97,Low,1.3,1.36,51.0,T6085
T6087,PapaBench,1.64,111.97,6.33,High,1.24,1.21,1.16,T6086
T6088,TACLeBench,1.02,94.26,20.53,High,1.47,1.35,1.19,T6087
T6089,TACLeBench,2.57,127.12,81.23,Low,1.11,1.38,3.44,T6088
T6090,TACLeBench,18.64,100.23,100.13,Low,1.4,0.81,25.91,T6089
T6091,TACLeBench,2.81,60.34,44.01,Low,1.12,1.28,2.67,T4345
T6092,PapaBench,2.75,56.31,53.66,High,1.37,1.18,3.11,T6091
T6093,PapaBench,2.05,31.13,4.41,Low,1.24,1.12,1.82,T6092
T6094,Malardalen,0.28,15.76,5.53,High,0.97,1.27,0.26,T6093
T6095,PapaBench,2.52,245.46,29.37,High,0.99,1.16,2.29,T6094
T6096,TACLeBench,11.11,64.64,26.0,Low,0.82,1.06,14.11,T6095
T6097,Malardalen,0.71,83.35,17.82,Low,0.85,0.96,0.68,T6096
T6098,TACLeBench,16.06,100.15,90.66,Low,1.4,1.27,24.09,T6097
T6099,EEMBC,15.23,259.3,70.6,High,1.37,1.17,22.39,T6098
T6100,EEMBC,26.66,246.94,135.62,Low,0.9,1.36,53.59,T6099
T6101,Malardalen,1.56,15.53,12.0,Low,1.39,0.96,1.45,T5717
T6102,PapaBench,2.41,105.57,102.14,Low,1.11,0.99,2.0,T6101
T6103,TACLeBench,1.01,115.12,65.01,Low,1.16,0.91,0.99,T6102
T6104,PapaBench,2.01,113.2,107.0,High,0.85,0.89,1.43,T6103
T6105,Malardalen,1.45,36.11,9.82,High,0.99,1.19,1.13,T6104
T6106,Malardalen,1.08,23.56,6.19,High,1.02,0.99,0.59,T6105
T6107,MiBench,23.14,364.6,78.99,Low,1.49,1.1,26.15,T6106
T6108,EEMBC,9.31,175.91,114.76,Low,1.39,1.39,16.66,T6107
T6109,EEMBC,13.03,104.69,19.27,High,1.25,1.09,29.71,T6108
T6110,MiBench,13.81,338.85,231.51,Low,1.43,1.19,20.02,T6109
T6111,Malardalen,0.57,10.11,4.4,Low,1.1,0.95,0.54,T1538
T6112,EEMBC,8.9,108.38,100.1,High,1.47,1.12,14.6,T6111
T6113,EEMBC,12.36,155.98,121.54,High,0.85,1.03,22.74,T6112
T6114,EEMBC,16.03,54.0,19.21,High,1.4,1.01,37.51,T6113
T6115,TACLeBench,0.7,142.63,136.71,High,1.09,1.19,1.03,T6114
T6116,PapaBench,1.79,194.1,45.05,High,1.37,1.24,1.54,T6115
T6117,PapaBench,0.46,77.62,58.26,Low,0.83,1.08,0.39,T6116
T6118,PapaBench,3.14,145.27,82.11,High,1.09,0.96,3.3,T6117
T6119,EEMBC,6.63,224.52,108.57,High,0.9,1.21,15.65,T6118
T6120,Malardalen,0.49,66.92,44.43,High,0.81,1.13,0.29,T6119
T6121,Malardalen,1.74,61.56,33.98,Low,1.34,0.89,1.57,T5671
T6122,PapaBench,4.67,138.86,100.51,Low,0.82,1.33,4.39,T6121
T6123,MiBench,32.72,201.93,95.27,Low,0.94,0.85,59.88,T6122
T6124,TACLeBench,8.24,108.78,25.65,Low,1.18,0.99,9.64,T6123
T6125,MiBench,31.74,372.97,360.4,High,0.94,1.01,51.1,T6124
T6126,Malardalen,1.0,38.64,25.26,High,1.17,1.33,0.95,T6125
